[INFO] 2017-10-11T09:36:21+05:30 |200|-0.956279 s|192.168.0.3|GET /
[INFO] 2017-10-11T10:14:52+05:30 |200|0.110276 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-10-11T10:16:28+05:30 |200|0.091263 s|192.168.0.4|POST userlogin
[INFO] 2017-10-11T10:32:17+05:30 |200|-0.855051 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-10-11T10:32:22+05:30 |200|0.214375 s|192.168.0.4|POST user_survey_display
[INFO] 2017-10-11T10:34:48+05:30 |200|0.004277 s|192.168.0.4|POST user_survey_display
[INFO] 2017-10-11T10:35:26+05:30 |200|0.003122 s|192.168.0.4|POST user_survey_display
[INFO] 2017-10-11T10:39:58+05:30 |200|-0.689686 s|192.168.0.4|POST user_survey_display
[INFO] 2017-10-11T10:40:03+05:30 |200|-0.599955 s|192.168.0.5|POST adminlogin
[INFO] 2017-10-11T10:40:03+05:30 |200|0.002999 s|192.168.0.5|POST check_login_admin
[INFO] 2017-10-11T10:40:07+05:30 |200|0.004359 s|192.168.0.5|POST check_login_admin
[INFO] 2017-10-11T10:40:07+05:30 |200|0.073689 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-10-11T10:41:03+05:30 |200|0.002196 s|192.168.0.5|POST check_login_admin
[INFO] 2017-10-11T10:41:03+05:30 |200|0.003782 s|192.168.0.5|POST admin_servey_edit
[INFO] 2017-10-11T10:41:06+05:30 |200|0.020508 s|192.168.0.5|OPTIONS admin_survey_add
[INFO] 2017-10-11T10:41:06+05:30 |200|0.210160 s|192.168.0.5|POST admin_survey_add
[INFO] 2017-10-11T10:41:08+05:30 |200|0.002390 s|192.168.0.5|POST check_login_admin
[INFO] 2017-10-11T10:41:08+05:30 |200|0.004270 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-10-11T10:41:11+05:30 |200|0.012163 s|192.168.0.4|POST user_survey_display
[INFO] 2017-10-11T10:41:26+05:30 |200|0.002078 s|192.168.0.5|POST check_login_admin
[INFO] 2017-10-11T10:41:26+05:30 |200|0.003041 s|192.168.0.5|POST admin_servey_edit
[INFO] 2017-10-11T10:41:35+05:30 |200|0.001113 s|192.168.0.5|OPTIONS admin_survey_add
[INFO] 2017-10-11T10:41:35+05:30 |200|0.073394 s|192.168.0.5|POST admin_survey_add
[INFO] 2017-10-11T10:42:04+05:30 |200|0.003075 s|192.168.0.5|POST check_login_admin
[INFO] 2017-10-11T10:42:04+05:30 |200|0.007746 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-10-11T10:42:09+05:30 |200|0.004128 s|192.168.0.5|POST admin_servey_edit
[INFO] 2017-10-11T10:42:09+05:30 |200|0.002575 s|192.168.0.5|POST check_login_admin
[INFO] 2017-10-11T10:42:13+05:30 |200|0.000735 s|192.168.0.5|OPTIONS admin_survey_add
[INFO] 2017-10-11T10:42:13+05:30 |200|0.058795 s|192.168.0.5|POST admin_survey_add
[INFO] 2017-10-11T10:42:25+05:30 |200|0.002641 s|192.168.0.5|POST check_login_admin
[INFO] 2017-10-11T10:42:25+05:30 |200|0.007496 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-10-11T10:42:28+05:30 |200|0.066075 s|192.168.0.5|POST admin_servey_remove
[INFO] 2017-10-11T10:42:31+05:30 |200|0.002694 s|192.168.0.5|POST check_login_admin
[INFO] 2017-10-11T10:42:31+05:30 |200|0.004179 s|192.168.0.5|POST admin_servey_edit
[INFO] 2017-10-11T10:42:35+05:30 |200|0.001133 s|192.168.0.5|OPTIONS admin_survey_add
[INFO] 2017-10-11T10:42:35+05:30 |200|0.054186 s|192.168.0.5|POST admin_survey_add
[INFO] 2017-10-11T10:42:47+05:30 |200|0.002932 s|192.168.0.5|POST check_login_admin
