[INFO] 2017-11-14T09:25:03+05:30 |200|0.183895 s|192.168.0.3|GET /
[INFO] 2017-11-14T11:28:21+05:30 |200|-0.395769 s|192.168.0.2|POST check_token_beginnig
[INFO] 2017-11-14T11:28:21+05:30 |200|0.179569 s|192.168.0.2|POST check_token_beginnig
[INFO] 2017-11-14T11:28:31+05:30 |200|-0.834446 s|192.168.0.2|POST userlogin
[INFO] 2017-11-14T11:28:39+05:30 |200|0.004721 s|192.168.0.2|POST user_location
[INFO] 2017-11-14T11:28:54+05:30 |200|0.064266 s|192.168.0.2|POST user_location_update
[INFO] 2017-11-14T11:29:07+05:30 |200|0.047279 s|192.168.0.2|POST user_location
[INFO] 2017-11-14T11:29:21+05:30 |200|0.085192 s|192.168.0.2|POST user_location_update
[INFO] 2017-11-14T11:29:29+05:30 |200|0.023075 s|192.168.0.2|POST userarealist
[INFO] 2017-11-14T11:32:07+05:30 |200|0.005038 s|192.168.0.2|POST user_location
[INFO] 2017-11-14T11:32:12+05:30 |200|0.004119 s|192.168.0.2|POST userarealist
[INFO] 2017-11-14T11:32:24+05:30 |200|0.056363 s|192.168.0.2|POST user_view_app_side
[INFO] 2017-11-14T11:32:25+05:30 |200|-0.187949 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:32:32+05:30 |200|0.132727 s|192.168.0.2|POST userlogin
[INFO] 2017-11-14T11:32:37+05:30 |200|0.004985 s|192.168.0.2|POST user_view_app_side
[INFO] 2017-11-14T11:32:38+05:30 |200|0.132088 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:32:50+05:30 |200|0.053309 s|192.168.0.2|POST userlogin
[INFO] 2017-11-14T11:32:55+05:30 |200|0.005477 s|192.168.0.2|POST user_view_app_side
[INFO] 2017-11-14T11:32:56+05:30 |200|0.202630 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:33:22+05:30 |200|0.073731 s|192.168.0.2|POST userlogin
[INFO] 2017-11-14T11:33:28+05:30 |200|0.004979 s|192.168.0.2|POST user_view_app_side
[INFO] 2017-11-14T11:33:28+05:30 |200|0.624712 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:35:36+05:30 |200|0.036972 s|192.168.0.2|POST check_token_beginnig
[INFO] 2017-11-14T11:35:39+05:30 |200|0.116428 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:35:39+05:30 |200|0.022674 s|192.168.0.2|POST user_view_app_side
[INFO] 2017-11-14T11:35:40+05:30 |200|0.002820 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:35:40+05:30 |200|0.002337 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:35:40+05:30 |200|0.002486 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:35:41+05:30 |200|0.002730 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:08+05:30 |200|0.002303 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:08+05:30 |200|0.004713 s|192.168.0.2|POST user_view_app_side
[INFO] 2017-11-14T11:36:08+05:30 |200|0.002378 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:09+05:30 |200|0.002891 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:09+05:30 |200|0.002754 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:09+05:30 |200|0.002860 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:09+05:30 |200|0.002175 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:10+05:30 |200|0.002439 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:21+05:30 |200|0.029886 s|192.168.0.2|POST user_view_app_side
[INFO] 2017-11-14T11:36:21+05:30 |200|0.003509 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:31+05:30 |200|0.008448 s|192.168.0.2|POST check_token_beginnig
[INFO] 2017-11-14T11:36:34+05:30 |200|0.003159 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:34+05:30 |200|0.005552 s|192.168.0.2|POST user_view_app_side
[INFO] 2017-11-14T11:36:35+05:30 |200|0.074173 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:35+05:30 |200|0.008681 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:35+05:30 |200|0.002791 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:35+05:30 |200|0.002458 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:36:35+05:30 |200|0.002755 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:44:47+05:30 |200|0.022136 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:44:47+05:30 |200|0.047675 s|192.168.0.2|POST user_view_app_side
[INFO] 2017-11-14T11:44:48+05:30 |200|0.002305 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:44:48+05:30 |200|0.002527 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:44:48+05:30 |200|0.002990 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:44:48+05:30 |200|0.002431 s|192.168.0.2|GET area_reg_country
[INFO] 2017-11-14T11:44:48+05:30 |200|0.002587 s|192.168.0.2|GET area_reg_country
